,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
34,2015,6,5,»ï¼º,21,11,1,0,7.78,3.06,1.26,2.54,0.265,0.328,0.437,0.765,1.36,0.306,66.3,5.06,3.61,4.83,4.76,2.78
35,2015,6,6,µÎ»ê,23,9,1,0,7.34,3.45,0.97,2.13,0.267,0.339,0.424,0.763,1.40,0.313,72.3,4.46,5.27,4.66,4.65,2.85
36,2015,6,7,NC,22,6,0,0,7.41,3.12,0.94,2.38,0.281,0.348,0.420,0.767,1.46,0.329,69.8,4.63,3.48,4.57,4.55,2.92
37,2015,6,8,KT,23,5,1,0,7.98,3.79,1.07,2.11,0.309,0.379,0.464,0.843,1.68,0.367,62.7,5.93,1.53,4.80,4.75,2.50
38,2015,6,9,SK,22,9,1,1,7.92,3.29,0.82,2.40,0.288,0.356,0.425,0.780,1.49,0.346,68.2,4.81,3.64,4.27,4.18,3.49
39,2015,6,10,·Ôµ¥,21,8,1,1,6.73,2.87,1.58,2.34,0.318,0.367,0.493,0.860,1.65,0.350,62.0,5.98,1.03,5.41,5.43,1.17
40,2015,7,1,»ï¼º,21,10,0,0,8.09,3.40,1.63,2.38,0.284,0.353,0.488,0.840,1.51,0.324,69.8,5.31,2.71,5.46,5.39,1.31
41,2015,7,2,Hero,20,7,0,0,6.90,2.98,0.79,2.32,0.283,0.339,0.411,0.750,1.43,0.326,60.3,5.06,1.79,4.30,4.30,3.04
42,2015,7,3,µÎ»ê,21,8,0,0,6.98,3.66,0.77,1.91,0.300,0.373,0.431,0.804,1.58,0.352,67.0,5.39,3.55,4.57,4.61,2.47
43,2015,7,4,·Ôµ¥,22,10,1,0,7.42,3.20,0.67,2.32,0.276,0.348,0.393,0.741,1.40,0.333,74.1,3.95,7.26,4.14,4.10,3.96
44,2015,7,5,SK,19,10,1,0,7.28,3.18,1.23,2.29,0.290,0.356,0.448,0.804,1.47,0.335,73.8,4.61,4.88,4.88,4.86,2.04
45,2015,7,6,ÇÑÈ­,20,3,0,0,6.13,4.42,1.41,1.39,0.277,0.367,0.442,0.809,1.56,0.299,68.3,5.53,2.23,5.84,6.00,0.12
46,2015,7,7,KIA,22,4,0,0,6.74,4.26,0.83,1.58,0.304,0.384,0.444,0.828,1.67,0.352,65.8,5.09,2.24,4.88,4.98,1.97
47,2015,7,8,KT,18,5,1,0,6.49,3.04,1.23,2.13,0.316,0.375,0.480,0.855,1.60,0.355,66.0,5.73,2.37,5.13,5.19,1.58
48,2015,7,9,NC,20,9,0,0,7.19,3.09,1.25,2.32,0.282,0.358,0.456,0.814,1.41,0.321,71.5,4.84,3.48,5.15,5.15,1.95
49,2015,7,10,LG,19,7,0,0,7.39,3.45,0.96,2.14,0.274,0.352,0.417,0.769,1.43,0.322,66.4,5.10,4.05,4.65,4.63,2.73
50,2015,8,1,NC,24,13,0,0,8.12,2.46,0.92,3.31,0.234,0.298,0.370,0.668,1.13,0.281,75.9,3.33,8.86,4.16,4.03,5.89
51,2015,8,2,»ï¼º,24,12,1,0,8.35,3.45,1.29,2.42,0.296,0.363,0.469,0.832,1.57,0.352,69.3,5.48,3.60,4.87,4.76,3.18
52,2015,8,3,µÎ»ê,24,12,0,0,7.83,3.88,0.71,2.02,0.263,0.347,0.383,0.730,1.42,0.322,71.9,3.96,6.42,4.31,4.28,4.43
53,2015,8,4,KT,25,5,0,0,7.37,4.13,0.96,1.79,0.294,0.380,0.431,0.812,1.61,0.346,68.3,5.41,3.04,5.04,5.08,2.00
54,2015,8,5,KIA,24,8,0,0,6.12,3.17,1.20,1.93,0.291,0.356,0.453,0.809,1.47,0.320,72.0,4.92,4.40,5.20,5.29,1.63
55,2015,8,6,LG,25,12,0,0,6.70,3.23,0.93,2.08,0.274,0.345,0.404,0.750,1.40,0.315,67.5,4.52,4.20,4.68,4.71,3.13
56,2015,8,7,Hero,25,9,0,0,7.53,3.93,0.94,1.92,0.300,0.378,0.447,0.825,1.64,0.356,65.0,5.65,2.35,4.84,4.86,2.30
57,2015,8,8,·Ôµ¥,23,8,0,0,6.10,3.14,1.35,1.94,0.318,0.382,0.480,0.862,1.62,0.349,65.0,6.14,0.76,5.53,5.65,0.12
58,2015,8,9,ÇÑÈ­,25,9,3,2,5.90,4.38,0.82,1.35,0.274,0.367,0.415,0.781,1.53,0.310,68.8,4.96,4.62,5.06,5.23,1.74
59,2015,8,10,SK,25,10,1,1,8.71,4.15,1.34,2.10,0.303,0.381,0.486,0.867,1.66,0.367,69.1,5.74,3.74,5.06,4.96,2.67
60,2015,9,1,NC,24,8,1,0,7.53,2.70,1.45,2.79,0.288,0.345,0.458,0.803,1.43,0.326,75.9,4.62,5.59,5.14,5.08,2.55
61,2015,9,2,»ï¼º,24,9,1,1,8.65,2.88,1.53,3.00,0.274,0.331,0.457,0.788,1.39,0.321,67.5,5.16,3.60,4.91,4.74,2.79
62,2015,9,3,SK,26,14,0,0,8.22,3.83,1.07,2.14,0.275,0.355,0.429,0.783,1.48,0.331,70.7,4.82,4.96,4.74,4.67,3.07
63,2015,9,4,Hero,23,7,1,1,5.41,3.41,1.06,1.58,0.300,0.370,0.451,0.822,1.56,0.327,67.5,5.14,3.86,5.27,5.44,1.72
64,2015,9,5,LG,21,11,1,0,7.92,3.84,0.73,2.06,0.276,0.353,0.386,0.740,1.48,0.338,69.3,4.52,5.11,4.24,4.18,3.93
65,2015,9,6,·Ôµ¥,23,10,0,0,7.05,3.91,1.19,1.80,0.266,0.348,0.425,0.773,1.45,0.300,69.0,4.63,4.75,5.24,5.29,1.82
66,2015,9,7,µÎ»ê,25,7,0,0,6.56,4.72,1.38,1.39,0.312,0.396,0.483,0.879,1.77,0.347,63.7,6.52,0.34,5.87,6.02,-0.15
67,2015,9,8,KIA,23,4,0,0,8.42,4.16,1.16,2.02,0.275,0.357,0.430,0.787,1.53,0.330,67.0,5.24,3.13,4.93,4.87,2.14
68,2015,9,9,ÇÑÈ­,23,9,1,1,5.70,5.01,1.26,1.14,0.303,0.396,0.474,0.871,1.73,0.326,66.3,6.31,2.22,6.07,6.33,0.10
69,2015,9,10,KT,22,4,1,0,7.40,3.73,1.02,1.99,0.328,0.393,0.477,0.869,1.74,0.385,71.3,5.23,2.63,4.78,4.78,2.13
70,2015,10,1,»ï¼º,3,2,0,0,10.61,1.61,0.96,6.60,0.175,0.221,0.309,0.530,0.79,0.226,79.8,2.25,1.43,3.29,2.86,1.11
71,2015,10,2,µÎ»ê,4,1,0,0,8.50,4.25,0.25,2.00,0.200,0.305,0.254,0.558,1.19,0.260,80.7,2.00,1.98,3.67,3.59,0.92
72,2015,10,3,NC,4,2,0,0,7.58,2.13,0.95,3.56,0.267,0.319,0.353,0.672,1.29,0.313,90.5,1.89,1.62,4.25,4.15,0.67
73,2015,10,4,Hero,3,1,0,0,9.67,3.67,0.67,2.64,0.274,0.342,0.368,0.710,1.48,0.360,80.6,2.33,1.19,3.65,3.42,0.70
74,2015,10,5,LG,4,2,0,0,7.50,3.25,0.25,2.31,0.277,0.340,0.365,0.705,1.42,0.343,69.2,3.50,0.97,3.48,3.43,1.01
75,2015,10,6,KT,4,2,0,0,8.15,2.33,0.70,3.50,0.254,0.318,0.408,0.727,1.19,0.314,78.6,2.79,1.82,3.67,3.49,1.36
76,2015,10,7,ÇÑÈ­,3,1,0,0,5.40,2.88,1.08,1.88,0.237,0.297,0.376,0.673,1.20,0.253,73.6,3.24,0.53,4.94,5.07,0.35
