,연도,선수이름,팀명,평균자책점,경기,승,패,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
184,2015,루카스,LG,4.93,33,10,11,0,1,0.476,171 2/3,175,11,108,14,151,103,94,1.65
185,2015,임정우,LG,5.04,54,6,9,5,3,0.400,109,123,8,50,14,99,65,61,1.59
186,2015,정찬헌,LG,5.52,32,3,6,1,5,0.333,44,49,3,14,5,32,27,27,1.43
187,2015,유원상,LG,5.59,25,1,1,0,1,0.500,37,44,6,12,2,22,26,23,1.51
188,2015,진해수,LG,5.72,39,2,2,0,4,0.500,28 1/3,29,2,16,5,20,19,18,1.59
189,2015,김광삼,LG,5.74,4,0,1,0,0,0.000,15 2/3,16,2,9,1,11,13,10,1.60
190,2015,이승현,LG,5.87,15,0,0,0,0,-,15 1/3,14,1,10,1,21,10,10,1.57
191,2015,임지섭,LG,6.25,8,1,2,0,0,0.333,31 2/3,18,3,36,2,37,23,22,1.71
192,2015,이준형,LG,6.35,4,0,2,0,0,0.000,5 2/3,7,1,9,1,5,7,4,2.82
193,2015,장진용,LG,6.40,11,1,3,0,0,0.250,32 1/3,43,5,7,5,20,26,23,1.55
194,2015,최동환,LG,8.27,17,0,0,0,0,-,20 2/3,32,7,6,2,21,19,19,1.84
195,2015,문수호,NC,-,2,0,0,0,0,-,0,1,0,1,0,0,1,1,-
196,2015,스튜어트,NC,2.68,19,8,2,0,0,0.800,117 2/3,116,7,26,6,109,37,35,1.21
197,2015,해커,NC,3.13,31,19,5,0,0,0.792,204,174,14,36,25,164,81,71,1.03
198,2015,박진우,NC,3.14,11,1,1,0,0,0.500,14 1/3,19,1,2,1,8,5,5,1.47
199,2015,이태양,NC,3.67,29,10,5,0,0,0.667,137 1/3,141,19,40,19,113,59,56,1.32
200,2015,최금강,NC,3.71,78,6,5,1,14,0.545,89 2/3,77,11,37,11,61,40,37,1.27
201,2015,고창성,NC,3.72,6,0,0,0,0,-,9 2/3,11,1,4,2,3,4,4,1.55
202,2015,임정호,NC,3.75,80,1,2,0,14,0.333,48,31,2,27,5,54,21,20,1.21
203,2015,임창민,NC,3.80,61,1,5,31,0,0.167,64,57,7,21,1,72,28,27,1.22
204,2015,이재학,NC,4.10,29,10,8,0,1,0.556,125,115,17,58,9,116,58,57,1.38
205,2015,김진성,NC,4.50,59,3,4,5,12,0.429,66,59,14,18,1,70,35,33,1.17
206,2015,박명환,NC,4.85,11,1,1,0,0,0.500,26,36,6,5,3,15,14,14,1.58
207,2015,손민한,NC,4.89,26,11,6,0,0,0.647,105,122,8,15,5,50,65,57,1.30
208,2015,민성기,NC,4.91,21,1,0,0,0,1.000,25 2/3,28,2,23,4,21,17,14,1.99
209,2015,이민호,NC,5.06,64,6,5,0,10,0.545,96,103,15,41,6,103,62,54,1.50
210,2015,이혜천,NC,5.19,29,0,0,0,3,-,17 1/3,15,3,7,2,10,11,10,1.27
