,연도,선수이름,팀명,포지션,경기,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율
1053,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1054,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1055,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1056,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1057,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1058,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1059,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1060,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1061,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1062,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1063,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1064,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1065,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1066,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1067,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1068,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1069,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1070,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1071,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1072,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1073,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1074,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1075,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1076,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1077,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1078,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1079,2016,로사리오,한화,좌익수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
1080,2016,이범호,KIA,3루수,130,128,1038 2/3,11,0,70,215,30,0.963,0,0,0,-
1081,2016,필,KIA,1루수,123,121,997 2/3,13,0,918,69,94,0.987,0,0,0,-
1082,2016,김호령,KIA,중견수,122,112,1009 2/3,3,0,310,10,5,0.991,0,0,0,-
1083,2016,서동욱,KIA,2루수,113,108,816 2/3,6,0,223,240,57,0.987,0,0,0,-
1084,2016,김주찬,KIA,좌익수,112,108,879 2/3,3,0,205,3,1,0.986,0,0,0,-
1085,2016,강한울,KIA,유격수,97,84,688 2/3,11,0,144,242,55,0.972,0,0,0,-
1086,2016,이홍구,KIA,포수,92,64,532,5,0,428,33,4,0.989,0,56,10,15.2
1087,2016,백용환,KIA,포수,74,48,425 1/3,6,1,297,35,5,0.982,3,39,17,30.4
1088,2016,박찬호,KIA,유격수,62,6,165,7,0,34,53,8,0.926,0,0,0,-
1089,2016,신종길,KIA,우익수,55,49,370,0,0,72,0,0,1.000,0,0,0,-
1090,2016,김광수,KIA,투수,54,0,52 1/3,0,0,2,4,0,1.000,0,0,0,-
1091,2016,심동섭,KIA,투수,54,0,38,0,0,1,4,0,1.000,0,0,0,-
1092,2016,최영필,KIA,투수,54,3,57 1/3,0,1,0,6,0,1.000,0,0,0,-
1093,2016,이성우,KIA,포수,53,23,227,2,0,184,17,1,0.990,1,26,12,31.6
1094,2016,김주형,KIA,3루수,51,15,194 2/3,2,0,13,35,4,0.960,0,0,0,-
1095,2016,홍건희,KIA,투수,50,9,90 1/3,1,0,2,8,0,0.909,0,0,0,-
1096,2016,노수광,KIA,우익수,46,25,244,1,0,62,2,2,0.985,0,0,0,-
1097,2016,박준표,KIA,투수,46,2,51 2/3,0,0,3,7,0,1.000,0,0,0,-
1098,2016,이호신,KIA,우익수,44,5,126,0,0,29,1,0,1.000,0,0,0,-
1099,2016,김주형,KIA,1루수,39,19,178,0,0,152,9,18,1.000,0,0,0,-
1100,2016,한승혁,KIA,투수,36,0,33 1/3,1,0,2,2,0,0.800,0,0,0,-
1101,2016,임창용,KIA,투수,34,0,35,1,0,1,2,0,0.750,0,0,0,-
1102,2016,김윤동,KIA,투수,31,5,53,0,0,5,9,2,1.000,0,0,0,-
1103,2016,서동욱,KIA,1루수,31,0,54,0,0,46,4,8,1.000,0,0,0,-
1104,2016,양현종,KIA,투수,31,31,200 1/3,3,3,4,33,1,0.925,0,0,0,-
1105,2016,헥터,KIA,투수,31,31,206 2/3,1,0,11,35,2,0.979,0,0,0,-
1106,2016,지크,KIA,투수,30,29,152,3,0,6,10,1,0.842,0,0,0,-
1107,2016,김주형,KIA,유격수,29,26,197,7,0,40,65,13,0.938,0,0,0,-
1108,2016,한기주,KIA,투수,29,5,56 1/3,0,0,3,7,1,1.000,0,0,0,-
1109,2016,노수광,KIA,중견수,28,20,166,0,0,37,2,1,1.000,0,0,0,-
1110,2016,윤완주,KIA,2루수,28,3,69 2/3,0,0,17,21,7,1.000,0,0,0,-
1111,2016,고영우,KIA,유격수,27,19,149 2/3,4,0,27,44,7,0.947,0,0,0,-
1112,2016,곽정철,KIA,투수,27,0,27 1/3,0,0,1,1,0,1.000,0,0,0,-
1113,2016,한승택,KIA,포수,25,9,91 2/3,1,0,77,7,0,0.988,0,15,1,6.3
1114,2016,강한울,KIA,2루수,24,1,46 2/3,0,0,12,23,4,1.000,0,0,0,-
1115,2016,고효준,KIA,투수,24,6,46,3,0,1,6,0,0.700,0,0,0,-
1116,2016,노수광,KIA,좌익수,20,6,69,0,0,18,1,0,1.000,0,0,0,-
1117,2016,오준혁,KIA,우익수,19,15,110 1/3,0,0,25,1,0,1.000,0,0,0,-
1118,2016,임기준,KIA,투수,19,6,31 1/3,3,4,2,6,0,0.727,0,0,0,-
1119,2016,김민우,KIA,2루수,18,12,108,0,0,34,23,12,1.000,0,0,0,-
1120,2016,김주형,KIA,2루수,18,10,93 1/3,2,0,17,29,7,0.958,0,0,0,-
1121,2016,오준혁,KIA,좌익수,18,11,94,1,0,19,0,0,0.950,0,0,0,-
1122,2016,홍재호,KIA,2루수,17,0,28,0,0,9,16,5,1.000,0,0,0,-
1123,2016,서동욱,KIA,우익수,16,9,83,0,0,18,0,0,1.000,0,0,0,-
1124,2016,윤석민,KIA,투수,16,3,31,0,0,5,3,0,1.000,0,0,0,-
1125,2016,윤정우,KIA,좌익수,16,4,67,1,0,14,0,0,0.933,0,0,0,-
1126,2016,김주형,KIA,우익수,15,6,39 2/3,0,0,7,0,0,1.000,0,0,0,-
1127,2016,고영우,KIA,2루수,14,0,20 1/3,0,0,2,12,1,1.000,0,0,0,-
1128,2016,김원섭,KIA,좌익수,14,5,59,1,0,14,0,0,0.933,0,0,0,-
1129,2016,나지완,KIA,좌익수,14,6,61,1,0,13,0,0,0.929,0,0,0,-
1130,2016,윤정우,KIA,우익수,14,10,64 1/3,0,0,7,0,0,1.000,0,0,0,-
1131,2016,김원섭,KIA,우익수,13,7,66 2/3,0,0,17,1,0,1.000,0,0,0,-
1132,2016,이준영,KIA,투수,13,1,17 2/3,1,0,0,2,0,0.667,0,0,0,-
1133,2016,이진영,KIA,우익수,13,6,69 1/3,1,0,14,0,0,0.933,0,0,0,-
1134,2016,김다원,KIA,우익수,12,7,55,0,0,11,0,0,1.000,0,0,0,-
1135,2016,정용운,KIA,투수,12,3,21 2/3,1,0,0,5,0,0.833,0,0,0,-
1136,2016,김명찬,KIA,투수,11,0,13,0,0,0,1,0,1.000,0,0,0,-
1137,2016,김진우,KIA,투수,11,0,15,0,1,0,4,0,1.000,0,0,0,-
1138,2016,고영우,KIA,3루수,10,0,14,0,0,1,4,1,1.000,0,0,0,-
1139,2016,안치홍,KIA,2루수,10,10,82,0,0,22,27,9,1.000,0,0,0,-
1140,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1141,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1142,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1143,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1144,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1145,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1146,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1147,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1148,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1149,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1150,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1151,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1152,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1153,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1154,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1155,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1156,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1157,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1158,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1159,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1160,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1161,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1162,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1163,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1164,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1165,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1166,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1167,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1168,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1169,2016,최원준,KIA,1루수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
1170,2016,이대형,KT,중견수,117,107,896,1,0,212,7,1,0.995,0,0,0,-
1171,2016,박경수,KT,2루수,109,108,888,13,0,227,317,76,0.977,0,0,0,-
1172,2016,박기혁,KT,유격수,105,88,726,11,0,137,262,53,0.973,0,0,0,-
1173,2016,심우준,KT,유격수,92,51,510,12,0,98,171,44,0.957,0,0,0,-
1174,2016,마르테,KT,3루수,89,88,718 2/3,7,0,66,152,20,0.969,0,0,0,-
1175,2016,유한준,KT,우익수,89,82,686 2/3,1,0,147,8,0,0.994,0,0,0,-
1176,2016,오정복,KT,좌익수,87,70,589,3,0,116,4,2,0.976,0,0,0,-
1177,2016,이해창,KT,포수,85,66,575 1/3,8,0,476,48,6,0.985,7,35,31,47.0
1178,2016,유민상,KT,1루수,78,56,447,5,0,406,24,44,0.989,0,0,0,-
1179,2016,김종민,KT,포수,77,61,523 1/3,6,0,387,31,3,0.986,0,59,15,20.3
1180,2016,홍성용,KT,투수,67,0,46 1/3,3,1,3,7,0,0.769,0,0,0,-
1181,2016,심재민,KT,투수,59,0,54 1/3,1,0,0,7,0,0.875,0,0,0,-
1182,2016,배병옥,KT,중견수,57,11,162 2/3,2,0,38,2,0,0.952,0,0,0,-
1183,2016,김상현,KT,1루수,56,53,435 2/3,9,0,418,35,56,0.981,0,0,0,-
1184,2016,고영표,KT,투수,53,0,56 1/3,0,0,4,8,0,1.000,0,0,0,-
1185,2016,김재윤,KT,투수,52,0,54 1/3,2,0,0,2,0,0.500,0,0,0,-
1186,2016,엄상백,KT,투수,52,6,73 1/3,3,0,4,10,0,0.824,0,0,0,-
1187,2016,이대형,KT,좌익수,49,28,257 2/3,1,0,40,1,0,0.976,0,0,0,-
1188,2016,이창재,KT,투수,47,0,40 1/3,0,0,3,3,1,1.000,0,0,0,-
1189,2016,김연훈,KT,1루수,43,12,174,2,0,172,8,12,0.989,0,0,0,-
1190,2016,하준호,KT,좌익수,43,19,201 2/3,2,0,57,3,1,0.968,0,0,0,-
1191,2016,장시환,KT,투수,40,7,75 1/3,0,0,3,12,0,1.000,0,0,0,-
1192,2016,조무근,KT,투수,38,0,38 2/3,0,0,0,7,0,1.000,0,0,0,-
1193,2016,김연훈,KT,3루수,36,14,143 1/3,3,0,11,33,1,0.936,0,0,0,-
1194,2016,배우열,KT,투수,36,0,40 1/3,0,0,1,5,1,1.000,0,0,0,-
1195,2016,전민수,KT,우익수,36,25,247 1/3,0,0,53,6,2,1.000,0,0,0,-
1196,2016,윤요섭,KT,포수,33,17,174 1/3,3,0,150,9,2,0.981,4,21,2,8.7
1197,2016,전민수,KT,좌익수,33,24,200 1/3,0,0,47,4,0,1.000,0,0,0,-
1198,2016,김연훈,KT,2루수,31,9,120 1/3,3,0,29,35,13,0.955,0,0,0,-
1199,2016,피어밴드,KT,투수,31,30,182,3,6,6,33,1,0.929,0,0,0,-
1200,2016,하준호,KT,우익수,29,10,119,0,0,29,1,1,1.000,0,0,0,-
1201,2016,밴와트,KT,투수,28,27,134 2/3,1,1,4,23,1,0.964,0,0,0,-
1202,2016,정성곤,KT,투수,28,9,66 1/3,2,0,2,14,0,0.889,0,0,0,-
1203,2016,주권,KT,투수,28,26,134,0,0,8,15,2,1.000,0,0,0,-
1204,2016,김사율,KT,투수,25,0,30 1/3,0,0,0,3,0,1.000,0,0,0,-
1205,2016,문상철,KT,3루수,23,12,115,1,0,5,28,1,0.971,0,0,0,-
1206,2016,문상철,KT,1루수,22,6,82,4,0,83,4,5,0.956,0,0,0,-
1207,2016,정대현,KT,투수,22,22,91 1/3,1,0,6,9,2,0.938,0,0,0,-
1208,2016,심우준,KT,3루수,19,11,104,1,0,9,33,5,0.977,0,0,0,-
1209,2016,하준호,KT,중견수,19,11,107 1/3,2,0,27,2,0,0.935,0,0,0,-
1210,2016,박기혁,KT,2루수,18,5,59 2/3,2,0,20,23,10,0.956,0,0,0,-
1211,2016,박용근,KT,3루수,17,13,109 1/3,0,0,8,15,2,1.000,0,0,0,-
1212,2016,신현철,KT,3루수,17,1,44 2/3,0,0,2,6,0,1.000,0,0,0,-
1213,2016,신현철,KT,2루수,16,0,33,0,0,12,8,0,1.000,0,0,0,-
1214,2016,이상화,KT,투수,16,0,32 2/3,1,0,0,4,0,0.800,0,0,0,-
1215,2016,이진영,KT,우익수,16,13,100,0,0,27,0,0,1.000,0,0,0,-
1216,2016,김사연,KT,우익수,14,10,89,0,0,27,3,1,1.000,0,0,0,-
1217,2016,김선민,KT,2루수,14,6,66 2/3,1,0,20,19,5,0.975,0,0,0,-
1218,2016,남태혁,KT,1루수,14,13,100 1/3,4,0,92,8,17,0.962,0,0,0,-
1219,2016,로위,KT,투수,14,13,60,0,0,2,15,0,1.000,0,0,0,-
1220,2016,박용근,KT,2루수,14,12,71 1/3,1,0,23,22,10,0.978,0,0,0,-
1221,2016,김선민,KT,3루수,12,5,37 2/3,0,0,5,3,0,1.000,0,0,0,-
1222,2016,마리몬,KT,투수,12,12,62,2,1,3,12,0,0.882,0,0,0,-
1223,2016,유한준,KT,중견수,12,11,69,0,0,17,1,0,1.000,0,0,0,-
1224,2016,피노,KT,투수,12,8,39,0,0,0,4,0,1.000,0,0,0,-
1225,2016,안상빈,KT,투수,11,0,12,0,0,0,0,0,-,0,0,0,-
1226,2016,최원재,KT,투수,10,0,9 1/3,0,0,0,0,0,-,0,0,0,-
1227,2016,김민혁,KT,좌익수,9,2,20 1/3,0,0,5,1,0,1.000,0,0,0,-
1228,2016,김연훈,KT,유격수,8,5,33 2/3,0,0,8,15,4,1.000,0,0,0,-
1229,2016,김진곤,KT,중견수,8,0,12,1,0,1,1,0,0.667,0,0,0,-
1230,2016,히메네스,LG,3루수,133,129,1123 1/3,17,0,109,262,28,0.956,0,0,0,-
1231,2016,오지환,LG,유격수,119,112,990,17,0,181,365,74,0.970,0,0,0,-
1232,2016,손주인,LG,2루수,110,97,791,6,0,199,270,61,0.987,0,0,0,-
1233,2016,정성훈,LG,1루수,105,88,729 2/3,4,0,743,43,71,0.995,0,0,0,-
1234,2016,유강남,LG,포수,100,76,658,5,1,479,51,4,0.991,3,39,24,38.1
1235,2016,채은성,LG,우익수,95,79,665,1,0,146,5,0,0.993,0,0,0,-
1236,2016,정주현,LG,2루수,79,44,404 1/3,7,0,90,129,34,0.969,0,0,0,-
1237,2016,이병규,LG,좌익수,75,62,517 1/3,3,0,122,8,0,0.977,0,0,0,-
1238,2016,진해수,LG,투수,75,0,54,0,0,1,6,0,1.000,0,0,0,-
1239,2016,정상호,LG,포수,72,39,367 2/3,3,2,274,27,4,0.990,2,26,10,27.8
1240,2016,임정우,LG,투수,67,0,70 2/3,1,0,2,4,1,0.857,0,0,0,-
1241,2016,안익훈,LG,중견수,66,2,175,2,0,45,2,1,0.959,0,0,0,-
1242,2016,김용의,LG,중견수,59,48,364 2/3,0,0,90,0,0,1.000,0,0,0,-
1243,2016,양석환,LG,1루수,59,32,340,4,0,331,20,34,0.989,0,0,0,-
1244,2016,윤지웅,LG,투수,59,0,44,1,0,5,6,1,0.917,0,0,0,-
1245,2016,김지용,LG,투수,51,0,63,0,1,1,8,0,1.000,0,0,0,-
1246,2016,신승현,LG,투수,49,0,45 1/3,0,0,3,4,0,1.000,0,0,0,-
1247,2016,이천웅,LG,우익수,48,25,253 2/3,2,0,43,1,0,0.957,0,0,0,-
1248,2016,이동현,LG,투수,46,0,43 1/3,0,2,0,5,0,1.000,0,0,0,-
1249,2016,임훈,LG,중견수,45,34,288,0,0,85,1,0,1.000,0,0,0,-
1250,2016,김용의,LG,1루수,39,23,188 2/3,0,0,194,14,18,1.000,0,0,0,-
1251,2016,이승현,LG,투수,38,0,41,0,0,2,5,0,1.000,0,0,0,-
1252,2016,소사,LG,투수,33,33,199,0,0,8,27,2,1.000,0,0,0,-
1253,2016,이천웅,LG,중견수,32,23,174 1/3,0,0,57,1,1,1.000,0,0,0,-
1254,2016,이형종,LG,좌익수,32,16,161,0,0,38,0,0,1.000,0,0,0,-
1255,2016,채은성,LG,좌익수,32,11,135 1/3,2,0,26,0,0,0.929,0,0,0,-
1256,2016,이천웅,LG,좌익수,30,23,183 1/3,0,0,36,1,0,1.000,0,0,0,-
1257,2016,임훈,LG,우익수,30,6,96,0,0,24,0,0,1.000,0,0,0,-
1258,2016,류제국,LG,투수,29,29,161 1/3,1,2,11,16,0,0.964,0,0,0,-
1259,2016,최경철,LG,포수,29,11,125 1/3,2,1,105,9,1,0.983,1,4,5,55.6
1260,2016,우규민,LG,투수,28,24,132,2,2,6,18,1,0.923,0,0,0,-
1261,2016,최성훈,LG,투수,28,0,22 2/3,2,0,0,3,0,0.600,0,0,0,-
1262,2016,박용택,LG,좌익수,27,24,180,0,0,45,1,0,1.000,0,0,0,-
1263,2016,문선재,LG,좌익수,26,7,98 2/3,0,0,30,0,0,1.000,0,0,0,-
1264,2016,문선재,LG,중견수,26,17,149 1/3,0,0,45,1,0,1.000,0,0,0,-
1265,2016,박재욱,LG,포수,26,18,130 2/3,2,0,79,13,0,0.979,3,11,5,31.3
1266,2016,최동환,LG,투수,26,0,34 2/3,1,0,1,3,0,0.800,0,0,0,-
1267,2016,양석환,LG,3루수,25,13,135 1/3,1,0,9,32,3,0.976,0,0,0,-
1268,2016,이준형,LG,투수,25,13,71 1/3,3,0,6,11,1,0.850,0,0,0,-
1269,2016,이형종,LG,우익수,23,9,85 2/3,0,0,19,0,0,1.000,0,0,0,-
1270,2016,황목치승,LG,2루수,22,2,52,0,0,12,18,3,1.000,0,0,0,-
1271,2016,봉중근,LG,투수,19,5,36 1/3,0,0,0,5,0,1.000,0,0,0,-
1272,2016,유원상,LG,투수,19,0,24,0,1,1,5,1,1.000,0,0,0,-
1273,2016,황목치승,LG,유격수,18,5,65,0,0,11,28,5,1.000,0,0,0,-
1274,2016,강승호,LG,유격수,17,13,94,5,0,13,41,6,0.915,0,0,0,-
1275,2016,윤진호,LG,2루수,17,0,33 1/3,0,0,6,15,5,1.000,0,0,0,-
1276,2016,정현욱,LG,투수,17,0,21,0,0,0,0,0,-,0,0,0,-
1277,2016,윤진호,LG,유격수,16,3,51,2,0,4,18,0,0.917,0,0,0,-
1278,2016,이병규,LG,우익수,16,14,102 1/3,0,0,11,1,0,1.000,0,0,0,-
1279,2016,임찬규,LG,투수,15,10,47,0,0,2,5,0,1.000,0,0,0,-
1280,2016,채은성,LG,중견수,15,13,88,0,0,25,2,0,1.000,0,0,0,-
1281,2016,김용의,LG,우익수,14,9,74,0,0,16,0,0,1.000,0,0,0,-
1282,2016,장준원,LG,유격수,13,4,36 2/3,0,0,3,12,1,1.000,0,0,0,-
1283,2016,코프랜드,LG,투수,13,13,63 1/3,2,0,3,7,0,0.833,0,0,0,-
1284,2016,허프,LG,투수,13,11,74 2/3,3,0,2,10,0,0.800,0,0,0,-
1285,2016,서상우,LG,1루수,11,1,24,0,0,27,1,4,1.000,0,0,0,-
1286,2016,손주인,LG,유격수,9,6,45,1,0,10,17,6,0.964,0,0,0,-
1287,2016,손주인,LG,3루수,8,2,24,0,0,0,10,0,1.000,0,0,0,-
1288,2016,유재유,LG,투수,7,1,6 2/3,0,0,1,1,0,1.000,0,0,0,-
1289,2016,이형종,LG,중견수,6,2,23 1/3,0,0,5,0,0,1.000,0,0,0,-
1290,2016,나성범,NC,우익수,142,139,1206 1/3,8,0,243,4,1,0.969,0,0,0,-
1291,2016,김태군,NC,포수,134,121,935 2/3,0,2,859,76,8,1.000,3,57,31,35.2
1292,2016,박민우,NC,2루수,116,113,897 1/3,14,0,224,278,65,0.973,0,0,0,-
1293,2016,박석민,NC,3루수,114,111,891,15,0,54,153,11,0.932,0,0,0,-
1294,2016,테임즈,NC,1루수,114,111,905,4,0,803,52,88,0.995,0,0,0,-
1295,2016,손시헌,NC,유격수,110,103,863,13,0,209,291,80,0.975,0,0,0,-
1296,2016,김준완,NC,중견수,88,31,399,0,0,95,0,0,1.000,0,0,0,-
1297,2016,용덕한,NC,포수,87,23,310 2/3,1,1,293,19,4,0.997,0,13,8,38.1
1298,2016,김성욱,NC,좌익수,80,30,357 1/3,0,0,66,4,0,1.000,0,0,0,-
1299,2016,조영훈,NC,1루수,73,31,360 1/3,5,0,342,24,28,0.987,0,0,0,-
1300,2016,김진성,NC,투수,69,0,84 1/3,2,0,4,10,1,0.875,0,0,0,-
1301,2016,이종욱,NC,좌익수,66,57,434 1/3,1,0,86,10,0,0.990,0,0,0,-
1302,2016,이종욱,NC,중견수,65,65,496 2/3,1,0,112,1,0,0.991,0,0,0,-
1303,2016,임창민,NC,투수,65,0,70,0,0,0,10,0,1.000,0,0,0,-
1304,2016,지석훈,NC,2루수,58,28,336,3,0,58,107,27,0.982,0,0,0,-
1305,2016,지석훈,NC,유격수,56,36,323 1/3,6,0,53,114,18,0.965,0,0,0,-
1306,2016,원종현,NC,투수,54,0,70 2/3,1,0,2,6,0,0.889,0,0,0,-
1307,2016,김성욱,NC,중견수,53,39,332 2/3,1,0,85,2,0,0.989,0,0,0,-
1308,2016,최금강,NC,투수,52,11,108,2,0,6,10,0,0.889,0,0,0,-
1309,2016,이민호,NC,투수,45,21,130 2/3,2,0,8,14,0,0.917,0,0,0,-
1310,2016,임정호,NC,투수,42,0,23 1/3,1,0,0,3,0,0.750,0,0,0,-
1311,2016,김종호,NC,좌익수,40,26,205,1,0,36,1,0,0.974,0,0,0,-
1312,2016,구창모,NC,투수,39,9,68 2/3,1,0,2,7,0,0.900,0,0,0,-
1313,2016,김준완,NC,좌익수,39,26,235 2/3,1,0,40,2,0,0.977,0,0,0,-
1314,2016,지석훈,NC,3루수,38,13,161,0,0,14,29,0,1.000,0,0,0,-
1315,2016,모창민,NC,3루수,37,20,201 2/3,3,0,11,45,8,0.949,0,0,0,-
1316,2016,장현식,NC,투수,37,5,76 1/3,1,0,1,6,1,0.875,0,0,0,-
1317,2016,박준영,NC,투수,32,0,33 2/3,0,0,1,5,0,1.000,0,0,0,-
1318,2016,스튜어트,NC,투수,27,27,150,1,0,12,19,3,0.969,0,0,0,-
1319,2016,이재학,NC,투수,26,24,127 2/3,2,0,3,17,2,0.909,0,0,0,-
1320,2016,민성기,NC,투수,25,0,28 1/3,0,0,1,4,0,1.000,0,0,0,-
1321,2016,해커,NC,투수,23,23,140 2/3,1,1,12,27,1,0.975,0,0,0,-
1322,2016,박민석,NC,투수,21,0,21 2/3,0,0,1,6,1,1.000,0,0,0,-
1323,2016,강민국,NC,유격수,19,2,58 1/3,4,0,9,19,5,0.875,0,0,0,-
1324,2016,김선규,NC,투수,17,0,15 1/3,0,0,0,1,0,1.000,0,0,0,-
1325,2016,정수민,NC,투수,15,11,48,0,0,2,2,1,1.000,0,0,0,-
1326,2016,김성욱,NC,우익수,14,1,25,0,0,5,0,0,1.000,0,0,0,-
1327,2016,박광열,NC,포수,12,0,37,2,0,28,1,0,0.935,0,0,1,100
1328,2016,배재환,NC,투수,11,1,22,0,0,0,2,0,1.000,0,0,0,-
1329,2016,이재율,NC,중견수,11,2,33,1,0,10,0,0,0.909,0,0,0,-
1330,2016,이태양,NC,투수,10,10,47,0,0,2,9,1,1.000,0,0,0,-
1331,2016,권희동,NC,좌익수,9,3,43,0,0,8,0,0,1.000,0,0,0,-
1332,2016,이상호,NC,유격수,8,2,24,0,0,3,5,2,1.000,0,0,0,-
1333,2016,황윤호,NC,2루수,8,0,19,0,0,5,5,3,1.000,0,0,0,-
1334,2016,이상호,NC,2루수,7,3,29,1,0,3,8,0,0.917,0,0,0,-
1335,2016,최성영,NC,투수,7,0,4 2/3,0,0,1,1,0,1.000,0,0,0,-
1336,2016,황윤호,NC,3루수,7,0,11,0,0,0,3,0,1.000,0,0,0,-
1337,2016,권희동,NC,중견수,6,6,25,0,0,6,0,0,1.000,0,0,0,-
1338,2016,김준완,NC,우익수,6,2,25,0,0,6,0,0,1.000,0,0,0,-
1339,2016,권희동,NC,우익수,5,2,28,0,0,2,0,0,1.000,0,0,0,-
1340,2016,도태훈,NC,3루수,5,0,6 2/3,0,0,1,1,0,1.000,0,0,0,-
1341,2016,황윤호,NC,유격수,5,0,10,0,0,1,4,0,1.000,0,0,0,-
1342,2016,강민국,NC,3루수,4,0,8,0,0,2,2,1,1.000,0,0,0,-
1343,2016,김학성,NC,투수,4,1,4 1/3,0,0,0,0,0,-,0,0,0,-
1344,2016,강장산,NC,투수,3,0,2 1/3,0,0,0,1,0,1.000,0,0,0,-
1345,2016,도태훈,NC,유격수,3,1,7 2/3,1,0,0,7,0,0.875,0,0,0,-
1346,2016,모창민,NC,1루수,3,2,17,0,0,16,1,0,1.000,0,0,0,-
