,연도,선수이름,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1458,2019,노수광,SK,0.250,117,445,388,69,97,16,1,2,121,28,9,0
1459,2019,김성현,SK,0.246,144,472,426,45,105,16,2,1,128,34,8,3
1460,2019,안상현,SK,0.235,65,108,102,14,24,3,0,0,27,5,1,1
1461,2019,최항,SK,0.228,52,147,127,12,29,5,0,0,34,14,1,1
1462,2019,남태혁,SK,0.227,12,24,22,1,5,0,0,0,5,1,0,0
1463,2019,최승준,SK,0.227,10,24,22,2,5,0,0,0,5,0,0,0
1464,2019,배영섭,SK,0.225,30,80,71,5,16,1,0,0,17,7,0,1
1465,2019,나주환,SK,0.222,94,245,225,14,50,9,0,3,68,20,4,1
1466,2019,최준우,SK,0.212,15,36,33,3,7,2,0,0,9,0,0,0
1467,2019,박정권,SK,0.188,18,37,32,5,6,1,0,1,10,5,0,0
1468,2019,정진기,SK,0.188,13,17,16,1,3,0,0,0,3,2,0,0
1469,2019,김창평,SK,0.178,18,53,45,4,8,2,0,0,10,3,3,0
1470,2019,강승호,SK,0.154,15,42,39,5,6,0,0,2,12,5,1,0
1471,2019,허도환,SK,0.127,56,93,79,3,10,3,0,1,16,6,4,2
1472,2019,정현,SK,0.079,27,45,38,3,3,0,0,0,3,2,0,1
1473,2019,최경모,SK,0.063,17,16,16,2,1,1,0,0,2,1,0,0
1474,2019,김태훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0
1475,2019,신재웅,SK,-,1,0,0,0,0,0,0,0,0,0,0,0
1476,2019,오준혁,SK,0.000,2,1,1,1,0,0,0,0,0,0,0,0
1477,2019,이승진,SK,-,1,0,0,0,0,0,0,0,0,0,0,0
1478,2020,이유찬,두산,0.387,43,39,31,11,12,0,1,0,14,4,1,1
1479,2020,허경민,두산,0.382,49,203,186,28,71,8,1,4,93,28,0,2
1480,2020,페르난데스,두산,0.366,67,311,273,58,100,17,0,12,153,48,0,4
1481,2020,오재일,두산,0.342,53,223,202,28,69,19,0,7,109,39,0,1
1482,2020,박건우,두산,0.315,62,268,235,53,74,20,0,6,112,35,0,4
1483,2020,김재호,두산,0.301,49,190,163,25,49,7,1,1,61,20,1,5
1484,2020,박세혁,두산,0.297,58,208,182,28,54,8,1,3,73,31,1,4
1485,2020,최주환,두산,0.296,65,270,243,38,72,16,1,8,114,44,0,2
1486,2020,김재환,두산,0.282,66,294,248,44,70,11,0,13,120,60,0,4
1487,2020,정수빈,두산,0.268,64,237,213,35,57,8,5,2,81,25,5,1
1488,2020,오재원,두산,0.239,52,130,117,20,28,5,1,5,50,24,0,2
1489,2020,권민석,두산,0.225,27,47,40,3,9,0,0,0,9,2,2,2
1490,2020,국해성,두산,0.220,24,65,59,7,13,1,0,2,20,13,0,1
1491,2020,안권수,두산,0.217,39,25,23,7,5,0,0,0,5,3,0,1
1492,2020,양찬열,두산,0.200,8,19,15,1,3,0,0,0,3,2,0,0
1493,2020,정상호,두산,0.188,29,67,64,2,12,5,0,0,17,6,1,1
1494,2020,장승현,두산,0.167,7,6,6,0,1,0,0,0,1,0,0,0
1495,2020,백동훈,두산,0.154,18,15,13,2,2,1,0,0,3,0,0,0
1496,2020,김인태,두산,0.138,27,40,29,8,4,1,0,0,5,1,0,0
1497,2020,서예일,두산,0.125,11,8,8,1,1,1,0,0,2,0,0,0
1498,2020,김강률,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
1499,2020,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
1500,2020,박지훈,두산,0.000,3,1,1,0,0,0,0,0,0,0,0,0
1501,2020,오명진,두산,0.000,3,2,2,0,0,0,0,0,0,0,0,0
1502,2020,이형범,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
1503,2020,조제영,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
1504,2020,최용제,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
1505,2020,함덕주,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
1506,2020,손아섭,롯데,0.345,65,292,252,49,87,20,0,3,116,39,1,5
1507,2020,오윤석,롯데,0.341,13,50,41,6,14,2,0,0,16,6,0,0
1508,2020,김민수,롯데,0.333,2,7,6,1,2,0,0,0,2,0,0,0
1509,2020,정훈,롯데,0.331,37,169,151,29,50,10,0,4,72,26,0,1
1510,2020,이대호,롯데,0.309,65,278,246,32,76,14,0,11,123,50,0,3
1511,2020,마차도,롯데,0.286,65,262,234,32,67,13,1,5,97,39,1,4
1512,2020,전준우,롯데,0.284,64,291,264,45,75,15,0,13,129,39,0,1
1513,2020,안치홍,롯데,0.278,63,259,230,25,64,16,0,4,92,29,3,2
1514,2020,지성준,롯데,0.250,3,11,8,0,2,0,0,0,2,2,0,0
1515,2020,한동희,롯데,0.246,57,212,187,20,46,8,0,9,81,29,3,2
1516,2020,민병헌,롯데,0.243,58,227,206,29,50,12,0,2,68,12,3,1
1517,2020,김재유,롯데,0.237,21,44,38,5,9,0,0,0,9,5,0,0
1518,2020,김준태,롯데,0.233,55,151,129,15,30,4,1,1,39,13,1,0
1519,2020,허일,롯데,0.224,28,56,49,3,11,1,0,1,15,5,2,0
1520,2020,김동한,롯데,0.222,38,47,45,12,10,2,0,0,12,4,0,0
1521,2020,신본기,롯데,0.192,36,56,52,7,10,0,0,1,13,3,0,0
